training_step, return
0,35.0
1,14.0
2,12.0
3,17.0
4,15.0
5,11.0
6,14.0
7,54.0
8,41.0
9,20.0
10,24.0
11,25.0
12,40.0
13,9.0
14,16.0
15,14.0
16,18.0
17,23.0
18,16.0
19,47.0
20,43.0
21,22.0
22,50.0
23,12.0
24,12.0
25,11.0
26,9.0
27,11.0
28,11.0
29,12.0
30,12.0
31,21.0
32,15.0
33,10.0
34,20.0
35,19.0
36,24.0
37,18.0
38,12.0
39,26.0
40,19.0
41,22.0
42,39.0
43,34.0
44,17.0
45,36.0
46,11.0
47,20.0
48,30.0
49,12.0
50,28.0
51,12.0
52,17.0
53,11.0
54,9.0
55,25.0
56,12.0
57,41.0
58,21.0
59,26.0
60,22.0
61,11.0
62,12.0
63,35.0
64,46.0
65,29.0
66,20.0
67,22.0
68,20.0
69,22.0
70,23.0
71,43.0
72,16.0
73,15.0
74,34.0
75,24.0
76,13.0
77,39.0
78,41.0
79,12.0
80,21.0
81,16.0
82,15.0
83,15.0
84,16.0
85,11.0
86,15.0
87,17.0
88,38.0
89,36.0
90,28.0
91,11.0
92,11.0
93,17.0
94,53.0
95,23.0
96,16.0
97,14.0
98,26.0
99,18.0
100,20.0
101,26.0
102,16.0
103,18.0
104,19.0
105,59.0
106,23.0
107,38.0
108,15.0
109,27.0
110,12.0
111,16.0
112,45.0
113,10.0
114,33.0
115,45.0
116,30.0
117,23.0
118,27.0
119,16.0
120,18.0
121,14.0
122,17.0
123,14.0
124,34.0
125,11.0
126,19.0
127,14.0
128,22.0
129,25.0
130,33.0
131,12.0
132,22.0
133,10.0
134,15.0
135,20.0
136,18.0
137,31.0
138,30.0
139,13.0
140,34.0
141,13.0
142,25.0
143,13.0
144,16.0
145,22.0
146,52.0
147,37.0
148,23.0
149,21.0
150,15.0
151,19.0
152,26.0
153,22.0
154,35.0
155,18.0
156,29.0
157,34.0
158,19.0
159,25.0
160,117.0
161,16.0
162,33.0
163,16.0
164,31.0
165,10.0
166,40.0
167,12.0
168,59.0
169,14.0
170,39.0
171,17.0
172,13.0
173,20.0
174,19.0
175,62.0
176,64.0
177,12.0
178,28.0
179,41.0
180,28.0
181,20.0
182,9.0
183,30.0
184,12.0
185,79.0
186,13.0
187,10.0
188,10.0
189,17.0
190,10.0
191,21.0
192,12.0
193,16.0
194,21.0
195,27.0
196,16.0
197,16.0
198,27.0
199,20.0
200,18.0
201,17.0
202,28.0
203,20.0
204,10.0
205,61.0
206,15.0
207,48.0
208,19.0
209,23.0
210,17.0
211,11.0
212,18.0
213,10.0
214,13.0
215,14.0
216,40.0
217,24.0
218,45.0
219,14.0
220,17.0
221,43.0
222,60.0
223,43.0
224,27.0
225,34.0
226,20.0
227,39.0
228,12.0
229,47.0
230,20.0
231,40.0
232,29.0
233,46.0
234,32.0
235,15.0
236,14.0
237,43.0
238,9.0
239,83.0
240,31.0
241,29.0
242,91.0
243,15.0
244,71.0
245,39.0
246,46.0
247,22.0
248,56.0
249,10.0
250,108.0
251,73.0
252,18.0
253,12.0
254,21.0
255,54.0
256,9.0
257,11.0
258,50.0
259,25.0
260,15.0
261,12.0
262,86.0
263,33.0
264,68.0
265,26.0
266,55.0
267,10.0
268,18.0
269,29.0
270,14.0
271,60.0
272,9.0
273,10.0
274,13.0
275,25.0
276,40.0
277,10.0
278,13.0
279,12.0
280,10.0
281,10.0
282,53.0
283,11.0
284,43.0
285,10.0
286,29.0
287,17.0
288,67.0
289,15.0
290,15.0
291,84.0
292,21.0
293,24.0
294,42.0
295,21.0
296,13.0
297,44.0
298,69.0
299,56.0
300,48.0
301,16.0
302,25.0
303,39.0
304,9.0
305,13.0
306,14.0
307,33.0
308,33.0
309,17.0
310,87.0
311,14.0
312,53.0
313,10.0
314,16.0
315,16.0
316,19.0
317,22.0
318,15.0
319,18.0
320,24.0
321,65.0
322,22.0
323,15.0
324,25.0
325,15.0
326,22.0
327,14.0
328,88.0
329,96.0
330,19.0
331,30.0
332,68.0
333,78.0
334,51.0
335,63.0
336,10.0
337,13.0
338,52.0
339,117.0
340,45.0
341,18.0
342,85.0
343,9.0
344,30.0
345,75.0
346,90.0
347,80.0
348,32.0
349,90.0
350,15.0
351,26.0
352,76.0
353,126.0
354,46.0
355,109.0
356,102.0
357,25.0
358,53.0
359,61.0
360,107.0
361,39.0
362,19.0
363,113.0
364,117.0
365,59.0
366,78.0
367,200.0
368,44.0
369,92.0
370,97.0
371,84.0
372,90.0
373,125.0
374,110.0
375,90.0
376,121.0
377,93.0
378,61.0
379,73.0
380,107.0
381,115.0
382,112.0
383,104.0
384,105.0
385,106.0
386,111.0
387,133.0
388,100.0
389,103.0
390,95.0
391,54.0
392,40.0
393,86.0
394,95.0
395,59.0
396,26.0
397,98.0
398,42.0
399,58.0
400,93.0
401,87.0
402,103.0
403,49.0
404,49.0
405,114.0
406,18.0
407,82.0
408,120.0
409,101.0
410,24.0
411,109.0
412,121.0
413,92.0
414,129.0
415,64.0
416,114.0
417,117.0
418,81.0
419,122.0
420,90.0
421,181.0
422,130.0
423,115.0
424,52.0
425,113.0
426,81.0
427,157.0
428,106.0
429,117.0
430,127.0
431,125.0
432,121.0
433,120.0
434,134.0
435,134.0
436,105.0
437,78.0
438,109.0
439,104.0
440,111.0
441,123.0
442,17.0
443,115.0
444,152.0
445,91.0
446,103.0
447,96.0
448,111.0
449,121.0
450,67.0
451,132.0
452,126.0
453,109.0
454,120.0
455,109.0
456,135.0
457,200.0
458,138.0
459,12.0
460,134.0
461,116.0
462,108.0
463,120.0
464,110.0
465,127.0
466,108.0
467,148.0
468,142.0
469,13.0
470,129.0
471,47.0
472,40.0
473,125.0
474,125.0
475,119.0
476,148.0
477,20.0
478,114.0
479,109.0
480,128.0
481,152.0
482,14.0
483,128.0
484,122.0
485,15.0
486,133.0
487,121.0
488,176.0
489,12.0
490,132.0
491,120.0
492,185.0
493,146.0
494,127.0
495,144.0
496,112.0
497,129.0
498,123.0
499,146.0
500,130.0
501,138.0
502,200.0
503,161.0
504,156.0
505,153.0
506,104.0
507,127.0
508,168.0
509,127.0
510,132.0
511,161.0
512,80.0
513,165.0
514,145.0
515,173.0
516,181.0
517,162.0
518,154.0
519,180.0
520,143.0
521,134.0
522,130.0
523,146.0
524,168.0
525,179.0
526,50.0
527,200.0
528,133.0
529,168.0
530,165.0
531,129.0
532,146.0
533,200.0
534,200.0
535,146.0
536,176.0
537,200.0
538,200.0
539,81.0
540,200.0
541,200.0
542,62.0
543,200.0
544,200.0
545,151.0
546,177.0
547,159.0
548,185.0
549,200.0
550,180.0
551,200.0
552,200.0
553,200.0
554,200.0
555,200.0
556,200.0
557,200.0
558,169.0
559,199.0
560,200.0
561,200.0
562,200.0
563,200.0
564,200.0
565,200.0
566,162.0
567,200.0
568,200.0
569,200.0
570,200.0
571,200.0
572,199.0
573,200.0
574,156.0
575,161.0
576,200.0
577,200.0
578,200.0
579,143.0
580,200.0
581,200.0
582,169.0
583,200.0
584,160.0
585,200.0
586,200.0
587,200.0
588,200.0
589,200.0
590,200.0
591,200.0
592,200.0
593,200.0
594,200.0
595,200.0
596,200.0
597,200.0
598,200.0
599,200.0
600,200.0
601,90.0
602,200.0
603,116.0
604,200.0
605,167.0
606,200.0
607,200.0
608,200.0
609,200.0
610,200.0
611,200.0
612,71.0
613,200.0
614,200.0
615,200.0
616,200.0
617,181.0
618,200.0
619,200.0
620,195.0
621,200.0
622,200.0
623,200.0
624,200.0
625,57.0
626,200.0
627,200.0
628,200.0
629,158.0
630,163.0
631,200.0
632,200.0
633,200.0
634,200.0
635,200.0
636,200.0
637,200.0
638,200.0
639,135.0
640,82.0
641,200.0
642,200.0
643,200.0
644,200.0
645,172.0
646,200.0
647,200.0
648,194.0
649,198.0
650,134.0
651,200.0
652,200.0
653,200.0
654,200.0
655,200.0
656,200.0
657,200.0
658,200.0
659,200.0
660,200.0
661,200.0
662,200.0
663,200.0
664,200.0
665,200.0
666,200.0
667,200.0
668,200.0
669,200.0
670,200.0
671,144.0
672,200.0
673,200.0
674,200.0
675,170.0
676,200.0
677,200.0
678,200.0
679,200.0
680,147.0
681,200.0
682,99.0
683,134.0
684,200.0
685,132.0
686,200.0
687,120.0
688,142.0
689,200.0
690,162.0
691,92.0
692,200.0
693,149.0
694,200.0
695,162.0
696,200.0
697,200.0
698,200.0
699,200.0
700,126.0
701,186.0
702,36.0
703,88.0
704,135.0
705,200.0
706,200.0
707,71.0
708,200.0
709,104.0
710,200.0
711,200.0
712,112.0
713,138.0
714,113.0
715,200.0
716,200.0
717,146.0
718,162.0
719,200.0
720,200.0
721,200.0
722,200.0
723,200.0
724,103.0
725,158.0
726,132.0
727,163.0
728,147.0
729,200.0
730,200.0
731,200.0
732,162.0
733,136.0
734,156.0
735,200.0
736,149.0
737,200.0
738,128.0
739,200.0
740,200.0
741,114.0
742,200.0
743,200.0
