training_step, return
0,25.0
1,20.0
2,18.0
3,42.0
4,9.0
5,25.0
6,21.0
7,18.0
8,18.0
9,13.0
10,14.0
11,15.0
12,12.0
13,23.0
14,22.0
15,50.0
16,24.0
17,20.0
18,22.0
19,11.0
20,18.0
21,14.0
22,19.0
23,15.0
24,13.0
25,9.0
26,14.0
27,15.0
28,13.0
29,12.0
30,17.0
31,24.0
32,25.0
33,13.0
34,15.0
35,22.0
36,35.0
37,9.0
38,15.0
39,10.0
40,33.0
41,23.0
42,16.0
43,12.0
44,15.0
45,36.0
46,14.0
47,20.0
48,18.0
49,15.0
50,54.0
51,33.0
52,12.0
53,15.0
54,15.0
55,16.0
56,29.0
57,12.0
58,25.0
59,13.0
60,21.0
61,23.0
62,12.0
63,23.0
64,24.0
65,12.0
66,12.0
67,14.0
68,10.0
69,16.0
70,21.0
71,13.0
72,19.0
73,14.0
74,13.0
75,17.0
76,14.0
77,15.0
78,15.0
79,20.0
80,22.0
81,28.0
82,45.0
83,20.0
84,11.0
85,16.0
86,12.0
87,11.0
88,26.0
89,17.0
90,12.0
91,18.0
92,13.0
93,15.0
94,36.0
95,28.0
96,34.0
97,13.0
98,15.0
99,23.0
100,21.0
101,14.0
102,18.0
103,22.0
104,11.0
105,10.0
106,11.0
107,24.0
108,12.0
109,12.0
110,38.0
111,30.0
112,47.0
113,16.0
114,39.0
115,30.0
116,21.0
117,12.0
118,28.0
119,10.0
120,21.0
121,16.0
122,37.0
123,27.0
124,17.0
125,11.0
126,23.0
127,33.0
128,26.0
129,14.0
130,56.0
131,17.0
132,13.0
133,26.0
134,14.0
135,19.0
136,39.0
137,31.0
138,26.0
139,30.0
140,78.0
141,46.0
142,12.0
143,15.0
144,21.0
145,12.0
146,46.0
147,19.0
148,20.0
149,32.0
150,20.0
151,12.0
152,30.0
153,12.0
154,18.0
155,31.0
156,16.0
157,12.0
158,13.0
159,29.0
160,11.0
161,26.0
162,33.0
163,16.0
164,16.0
165,33.0
166,39.0
167,18.0
168,53.0
169,39.0
170,34.0
171,34.0
172,28.0
173,14.0
174,10.0
175,103.0
176,35.0
177,14.0
178,18.0
179,27.0
180,93.0
181,53.0
182,12.0
183,64.0
184,16.0
185,17.0
186,119.0
187,22.0
188,34.0
189,25.0
190,27.0
191,61.0
192,49.0
193,16.0
194,11.0
195,105.0
196,38.0
197,48.0
198,24.0
199,17.0
200,50.0
201,133.0
202,24.0
203,32.0
204,52.0
205,75.0
206,26.0
207,20.0
208,68.0
209,64.0
210,43.0
211,17.0
212,11.0
213,32.0
214,33.0
215,39.0
216,19.0
217,85.0
218,25.0
219,30.0
220,34.0
221,45.0
222,38.0
223,57.0
224,69.0
225,24.0
226,17.0
227,31.0
228,25.0
229,49.0
230,20.0
231,29.0
232,137.0
233,42.0
234,17.0
235,21.0
236,43.0
237,59.0
238,34.0
239,113.0
240,200.0
241,86.0
242,90.0
243,21.0
244,30.0
245,100.0
246,25.0
247,32.0
248,49.0
249,76.0
250,138.0
251,28.0
252,147.0
253,96.0
254,68.0
255,187.0
256,41.0
257,154.0
258,52.0
259,29.0
260,26.0
261,44.0
262,35.0
263,23.0
264,117.0
265,66.0
266,64.0
267,23.0
268,87.0
269,166.0
270,35.0
271,198.0
272,24.0
273,24.0
274,49.0
275,33.0
276,200.0
277,35.0
278,41.0
279,49.0
280,24.0
281,20.0
282,24.0
283,109.0
284,19.0
285,58.0
286,108.0
287,40.0
288,16.0
289,144.0
290,65.0
291,177.0
292,43.0
293,49.0
294,16.0
295,98.0
296,32.0
297,200.0
298,184.0
299,148.0
300,24.0
301,47.0
302,66.0
303,159.0
304,45.0
305,83.0
306,49.0
307,121.0
308,43.0
309,164.0
310,92.0
311,24.0
312,85.0
313,119.0
314,42.0
315,143.0
316,14.0
317,129.0
318,87.0
319,68.0
320,38.0
321,77.0
322,72.0
323,66.0
324,120.0
325,15.0
326,31.0
327,41.0
328,46.0
329,135.0
330,151.0
331,14.0
332,116.0
333,126.0
334,20.0
335,166.0
336,28.0
337,89.0
338,103.0
339,87.0
340,25.0
341,113.0
342,137.0
343,59.0
344,70.0
345,126.0
346,119.0
347,93.0
348,200.0
349,41.0
350,16.0
351,57.0
352,129.0
353,200.0
354,182.0
355,174.0
356,128.0
357,18.0
358,113.0
359,49.0
360,97.0
361,110.0
362,120.0
363,148.0
