training_step, return
1864,-500.0
1929,-500.0
1994,-500.0
2059,-500.0
3924,-500.0
3989,-500.0
4054,-500.0
4119,-500.0
5313,-348.0
5984,-500.0
6114,-500.0
6179,-500.0
7373,-500.0
7849,-500.0
7979,-500.0
8044,-500.0
9433,-500.0
9788,-443.0
9909,-500.0
10104,-500.0
11292,-493.0
11651,-376.0
11848,-500.0
11969,-500.0
13022,-272.0
13344,-491.0
13516,-500.0
13687,-473.0
13826,-218.0
14423,-298.0
14589,-177.0
14746,-278.0
15512,-180.0
15537,-460.0
15657,-287.0
15694,-295.0
16040,-137.0
16094,-166.0
16824,-198.0
17117,-242.0
17199,-371.0
17267,-402.0
17793,-135.0
17928,-225.0
18106,-306.0
18499,-324.0
18687,-173.0
18877,-185.0
19088,-319.0
19268,-183.0
19642,-179.0
19743,-275.0
19876,-202.0
20039,-185.0
20460,-232.0
20772,-248.0
20827,-202.0
21183,-331.0
21588,-175.0
21744,-308.0
21829,-276.0
21947,-178.0
22508,-178.0
22598,-183.0
23008,-280.0
23063,-164.0
23396,-212.0
23400,-446.0
23974,-183.0
23998,-209.0
24340,-301.0
24391,-214.0
24784,-200.0
24972,-217.0
25163,-186.0
25374,-253.0
25527,-164.0
25559,-189.0
25729,-175.0
26135,-175.0
26232,-112.0
26273,-160.0
26358,-213.0
26816,-152.0
26917,-196.0
27136,-192.0
27254,-241.0
27562,-160.0
27730,-227.0
27808,-163.0
27905,-183.0
28248,-127.0
28385,-237.0
28459,-163.0
28567,-173.0
28922,-146.0
29046,-212.0
29193,-148.0
29686,-178.0
29859,-316.0
29982,-203.0
30039,-212.0
30416,-166.0
30608,-178.0
30767,-199.0
30952,-290.0
31134,-135.0
31271,-113.0
31500,-157.0
31577,-110.0
31659,-267.0
32113,-198.0
32230,-180.0
32245,-159.0
32338,-175.0
32651,-147.0
32820,-184.0
33016,-200.0
33141,-217.0
33412,-175.0
33809,-208.0
34025,-228.0
34149,-227.0
34226,-228.0
34695,-155.0
34871,-281.0
34993,-181.0
35055,-249.0
35409,-147.0
35454,-173.0
35536,-152.0
35583,-137.0
36037,-110.0
36115,-141.0
36151,-156.0
36468,-233.0
36646,-140.0
36701,-159.0
36843,-220.0
37401,-169.0
37496,-209.0
37505,-256.0
37570,-141.0
37954,-162.0
38114,-153.0
38240,-158.0
38292,-201.0
38456,-111.0
38624,-119.0
38788,-157.0
38822,-139.0
39176,-161.0
39502,-265.0
39562,-188.0
39585,-177.0
39902,-121.0
39927,-165.0
40258,-170.0
40349,-201.0
40487,-169.0
40637,-149.0
40878,-138.0
41179,-151.0
41273,-200.0
41287,-248.0
41640,-176.0
42026,-167.0
42105,-232.0
42206,-246.0
42388,-162.0
42564,-147.0
42873,-182.0
42911,-132.0
43016,-224.0
43345,-195.0
43381,-117.0
43437,-135.0
43749,-147.0
43905,-133.0
44101,-170.0
44320,-180.0
44433,-137.0
44472,-254.0
44875,-188.0
45238,-219.0
45304,-246.0
45306,-205.0
45655,-194.0
45864,-167.0
46014,-190.0
46044,-154.0
46405,-150.0
46439,-198.0
46585,-150.0
47053,-258.0
47237,-212.0
47353,-182.0
47405,-219.0
47898,-154.0
48269,-251.0
48312,-283.0
48444,-258.0
48638,-154.0
48855,-152.0
48995,-160.0
49032,-177.0
49189,-160.0
49317,-89.0
49617,-176.0
49966,-191.0
50063,-160.0
50377,-174.0
50490,-133.0
50594,-140.0
50942,-174.0
50983,-102.0
51055,-500.0
51129,-144.0
51502,-128.0
51597,-151.0
51711,-183.0
51915,-200.0
52247,-145.0
52294,-206.0
52609,-231.0
52838,-153.0
52930,-234.0
53005,-172.0
53399,-204.0
53585,-161.0
53708,-192.0
53793,-202.0
54097,-121.0
54165,-180.0
54247,-148.0
54541,-162.0
54671,-115.0
54783,-145.0
55360,-233.0
55452,-195.0
55510,-141.0
55652,-384.0
56021,-178.0
56076,-175.0
56110,-164.0
56423,-185.0
56623,-122.0
56799,-192.0
56810,-148.0
56942,-128.0
57173,-159.0
57344,-143.0
57514,-181.0
57540,-155.0
57839,-103.0
57941,-182.0
58146,-216.0
58254,-154.0
58369,-139.0
58468,-136.0
58817,-172.0
58909,-177.0
58992,-133.0
59125,-170.0
59307,-99.0
59464,-164.0
59650,-134.0
59746,-168.0
60063,-170.0
60211,-161.0
60431,-195.0
60538,-206.0
60601,-147.0
60734,-132.0
61073,-144.0
61391,-204.0
61473,-261.0
61599,-135.0
61761,-246.0
62157,-180.0
62256,-197.0
62389,-204.0
62559,-212.0
62670,-122.0
62894,-114.0
63003,-161.0
63104,-154.0
63213,-152.0
63432,-147.0
63547,-153.0
63855,-165.0
64188,-170.0
64222,-228.0
64286,-153.0
64618,-177.0
64753,-140.0
64974,-200.0
65089,-217.0
65393,-189.0
65572,-233.0
65630,-150.0
65766,-206.0
66174,-195.0
66318,-160.0
66393,-177.0
66546,-194.0
66752,-187.0
66827,-118.0
66941,-157.0
67281,-149.0
67364,-146.0
67696,-169.0
67762,-229.0
67806,-134.0
67895,-140.0
68246,-159.0
68279,-126.0
68318,-121.0
68399,-113.0
68864,-155.0
68921,-131.0
68987,-155.0
69034,-169.0
69402,-147.0
69581,-156.0
69687,-180.0
69745,-172.0
69909,-116.0
69999,-116.0
70314,-178.0
70358,-191.0
70515,-125.0
70834,-129.0
70908,-159.0
70924,-234.0
71273,-172.0
71352,-127.0
71649,-155.0
71715,-205.0
71815,-151.0
72121,-183.0
72162,-122.0
72216,-110.0
72600,-199.0
72663,-151.0
72692,-139.0
72768,-161.0
73221,-138.0
73321,-135.0
73521,-167.0
73701,-257.0
73903,-191.0
74020,-213.0
74053,-141.0
74455,-168.0
74548,-137.0
74618,-174.0
74623,-134.0
74992,-146.0
75151,-137.0
75309,-175.0
75359,-155.0
75683,-141.0
75734,-156.0
75897,-147.0
76075,-180.0
76291,-166.0
76422,-134.0
76719,-255.0
76852,-191.0
77042,-165.0
77209,-201.0
77278,-168.0
77413,-170.0
77559,-126.0
77927,-123.0
77956,-161.0
78127,-177.0
78285,-226.0
78513,-166.0
78682,-169.0
78857,-144.0
79221,-148.0
79288,-189.0
79328,-262.0
79381,-133.0
79882,-163.0
79912,-140.0
79950,-143.0
80047,-173.0
80265,-119.0
80459,-156.0
80578,-140.0
80637,-169.0
80975,-125.0
81000,-149.0
81079,-110.0
81157,-129.0
81531,-140.0
81634,-164.0
81732,-171.0
81908,-165.0
82112,-87.0
82294,-177.0
82499,-181.0
82664,-161.0
82700,-206.0
83061,-171.0
83101,-221.0
83181,-126.0
83601,-109.0
83707,-135.0
83729,-248.0
83839,-192.0
84115,-123.0
84251,-131.0
84463,-170.0
84589,-164.0
84778,-136.0
84927,-226.0
85001,-147.0
85073,-99.0
85128,-148.0
85500,-108.0
85559,-95.0
85648,-129.0
85856,-101.0
85937,-229.0
86020,-129.0
86187,-148.0
86314,-98.0
86487,-159.0
86580,-138.0
86925,-152.0
87007,-129.0
