training_step, return
1545,7.0
1672,7.0
2092,11.0
2210,11.0
2334,7.0
2881,11.0
2978,7.0
3741,9.0
4172,4.0
4272,3.0
4410,7.0
4575,11.0
4672,11.0
4981,11.0
5068,11.0
5874,7.0
6373,11.0
6518,11.0
6671,8.0
6782,7.0
7060,7.0
7230,9.0
7940,7.0
8158,9.0
8484,7.0
8622,11.0
8759,11.0
9387,11.0
9814,11.0
10251,8.0
11016,8.0
11128,11.0
11479,7.0
11482,11.0
11623,7.0
11754,7.0
11922,7.0
12371,11.0
12871,2.0
13272,7.0
13645,11.0
13724,11.0
14005,7.0
14128,11.0
14484,11.0
14952,11.0
15334,7.0
15359,7.0
15789,7.0
16235,11.0
16532,3.0
16667,11.0
17067,11.0
17399,7.0
17455,11.0
17858,7.0
17955,11.0
18622,7.0
19176,11.0
19249,11.0
19554,11.0
19771,7.0
19974,11.0
20017,7.0
20370,3.0
20383,7.0
20709,11.0
21269,7.0
21888,11.0
22129,8.0
22468,11.0
22577,7.0
22814,11.0
22963,7.0
23342,7.0
23349,7.0
23956,7.0
24215,11.0
24585,11.0
24663,11.0
25056,11.0
25499,11.0
25800,11.0
26027,7.0
26339,11.0
26745,7.0
27183,11.0
27249,11.0
27606,11.0
27970,11.0
28474,11.0
28551,11.0
29034,11.0
29373,11.0
29703,11.0
29850,11.0
30219,11.0
30544,7.0
30648,7.0
30992,11.0
31102,7.0
31426,7.0
31778,7.0
31947,11.0
32340,11.0
32730,11.0
33069,4.0
33223,11.0
33494,7.0
33574,7.0
33860,7.0
34050,11.0
34407,7.0
35199,11.0
35574,7.0
35654,7.0
35785,9.0
36250,8.0
36895,11.0
37420,8.0
37649,7.0
37743,7.0
37831,3.0
38072,11.0
38217,11.0
38355,8.0
38949,3.0
38989,11.0
39212,3.0
39533,11.0
39801,7.0
40364,11.0
40452,7.0
40657,11.0
41082,7.0
41630,11.0
41946,7.0
42200,7.0
42564,11.0
42713,3.0
42877,11.0
43180,7.0
43323,3.0
43380,7.0
44080,11.0
44639,11.0
44826,11.0
44999,11.0
45273,11.0
45468,11.0
45538,7.0
45794,7.0
46144,7.0
46356,11.0
46696,7.0
46922,7.0
47338,7.0
47572,11.0
48002,11.0
48245,11.0
48443,11.0
48786,11.0
49010,11.0
49724,11.0
50063,7.0
50373,11.0
50512,7.0
50576,11.0
50842,7.0
51215,7.0
51728,7.0
51828,11.0
52005,11.0
52165,11.0
52460,11.0
52607,11.0
52933,11.0
53133,3.0
53290,7.0
53921,11.0
54237,7.0
54522,7.0
54699,7.0
55010,7.0
55173,3.0
55372,11.0
55617,8.0
56341,11.0
56586,7.0
56771,7.0
56900,7.0
57107,11.0
57267,7.0
57460,7.0
57691,4.0
58404,7.0
58614,3.0
58874,11.0
58965,7.0
59182,7.0
59533,7.0
59779,7.0
60363,9.0
60709,11.0
60934,7.0
61032,4.0
61272,7.0
61432,11.0
61597,7.0
61880,8.0
62798,7.0
63000,7.0
63090,7.0
63385,11.0
63488,7.0
63717,11.0
64273,7.0
64878,7.0
65078,7.0
65187,11.0
65400,3.0
65446,7.0
65601,11.0
65928,7.0
66694,7.0
67184,11.0
67278,11.0
67534,11.0
67697,11.0
67881,7.0
