training_step, return
6260,-21.0
6338,-21.0
6561,-21.0
6642,-20.0
6845,-21.0
7045,-21.0
7163,-21.0
7784,-21.0
12504,-21.0
12548,-21.0
12762,-21.0
13055,-21.0
13907,-21.0
13985,-21.0
14280,-21.0
14336,-21.0
18758,-21.0
19325,-21.0
19925,-20.0
20640,-21.0
21080,-21.0
21158,-21.0
21643,-20.0
22532,-21.0
25000,-21.0
26137,-21.0
26466,-21.0
27359,-21.0
28345,-21.0
28733,-21.0
28940,-20.0
29927,-21.0
32233,-21.0
32722,-20.0
33284,-21.0
33569,-21.0
35486,-21.0
35920,-20.0
36159,-20.0
37128,-21.0
39913,-20.0
40475,-20.0
40549,-21.0
41853,-21.0
42706,-21.0
43379,-21.0
44120,-21.0
44287,-20.0
46169,-20.0
47680,-21.0
47829,-21.0
48063,-21.0
49929,-20.0
50330,-21.0
50612,-21.0
52561,-20.0
54365,-21.0
55867,-20.0
56261,-21.0
57020,-21.0
57584,-20.0
58187,-21.0
59734,-21.0
59863,-21.0
61598,-21.0
62077,-21.0
63221,-21.0
63524,-21.0
63826,-21.0
66036,-21.0
67130,-21.0
67468,-21.0
67808,-21.0
68347,-21.0
69734,-21.0
70450,-21.0
72101,-20.0
73181,-21.0
73710,-21.0
74018,-21.0
75361,-21.0
77627,-21.0
77683,-21.0
77990,-21.0
79391,-21.0
79920,-21.0
80357,-21.0
82628,-21.0
83205,-21.0
84860,-21.0
85010,-21.0
85195,-21.0
85633,-21.0
87185,-21.0
87562,-21.0
91437,-21.0
91907,-21.0
92544,-21.0
92870,-21.0
93028,-21.0
93238,-21.0
94330,-21.0
94767,-21.0
97647,-21.0
98117,-21.0
98786,-21.0
100353,-21.0
100383,-21.0
100572,-21.0
100979,-21.0
102061,-21.0
104359,-21.0
104792,-21.0
106627,-21.0
106811,-21.0
108097,-21.0
108120,-21.0
108609,-21.0
109266,-21.0
111997,-21.0
112589,-21.0
112869,-21.0
114016,-21.0
115302,-21.0
115353,-21.0
116776,-21.0
117522,-21.0
119202,-21.0
120014,-21.0
120776,-20.0
122184,-21.0
122619,-21.0
122958,-21.0
123466,-21.0
123824,-21.0
124481,-21.0
126256,-21.0
128057,-20.0
128366,-21.0
128861,-21.0
129200,-21.0
129708,-21.0
130969,-21.0
131704,-20.0
134239,-21.0
134420,-21.0
135629,-21.0
136034,-21.0
136412,-20.0
136913,-21.0
137211,-21.0
138873,-21.0
140722,-21.0
141506,-21.0
142832,-21.0
143412,-21.0
143631,-20.0
144216,-20.0
144235,-20.0
145085,-21.0
148670,-20.0
148906,-20.0
149090,-21.0
150505,-21.0
150563,-21.0
150833,-21.0
151286,-21.0
152398,-20.0
155300,-21.0
155843,-21.0
156824,-20.0
157075,-21.0
157193,-19.0
157724,-20.0
158506,-21.0
158668,-21.0
162473,-21.0
163025,-21.0
163069,-21.0
163925,-21.0
164313,-20.0
164431,-20.0
166735,-19.0
166878,-20.0
169317,-21.0
170185,-21.0
171070,-21.0
171476,-20.0
171595,-21.0
171740,-20.0
172945,-21.0
175125,-19.0
177331,-20.0
177377,-20.0
177532,-20.0
177737,-20.0
177805,-21.0
177982,-21.0
180196,-20.0
181326,-21.0
183615,-21.0
183793,-21.0
184047,-21.0
184882,-21.0
186241,-21.0
186582,-19.0
187538,-21.0
188419,-20.0
189994,-21.0
191235,-20.0
191864,-19.0
193200,-19.0
193440,-20.0
193720,-21.0
193835,-20.0
196623,-20.0
197435,-21.0
