training_step, return
3559,60.0
3755,0.0
4100,100.0
4345,140.0
4704,140.0
5273,160.0
5521,140.0
6987,200.0
7841,120.0
8767,140.0
8905,180.0
9353,120.0
9520,180.0
9672,100.0
10301,160.0
12080,80.0
12772,60.0
13214,260.0
14333,120.0
16007,260.0
16808,320.0
19246,280.0
19951,120.0
20649,460.0
20890,500.0
21527,400.0
21563,320.0
23123,400.0
27360,480.0
28186,320.0
29607,460.0
29897,380.0
29939,400.0
31438,300.0
32803,440.0
33246,480.0
34690,320.0
35421,300.0
38072,300.0
38194,360.0
38641,280.0
39881,440.0
40404,240.0
41660,240.0
42087,360.0
43893,340.0
44791,220.0
45444,240.0
46412,360.0
47272,140.0
47841,200.0
48697,340.0
49157,380.0
51663,260.0
52497,200.0
54160,380.0
54617,260.0
56256,480.0
56376,240.0
56936,320.0
58068,360.0
58920,280.0
63749,380.0
64646,340.0
65287,260.0
65460,460.0
65577,380.0
66178,380.0
67004,520.0
68127,400.0
70986,260.0
71325,120.0
71390,200.0
73540,320.0
73829,280.0
75005,420.0
75726,400.0
76361,360.0
77668,120.0
78123,80.0
78210,300.0
79617,320.0
80010,180.0
81591,400.0
82332,120.0
84087,360.0
85006,300.0
85374,300.0
87274,280.0
87551,160.0
87888,280.0
89707,600.0
90832,340.0
91047,80.0
91081,140.0
92746,160.0
92843,100.0
93409,200.0
94316,400.0
94640,340.0
97080,220.0
97178,160.0
99406,400.0
99678,260.0
101576,300.0
101980,320.0
102840,340.0
103097,480.0
104276,300.0
104457,340.0
107790,280.0
108886,340.0
109711,400.0
113262,420.0
114270,480.0
114610,400.0
115769,460.0
116102,280.0
117121,400.0
119624,720.0
121799,240.0
122030,280.0
122161,540.0
122437,260.0
123648,420.0
125453,420.0
128396,420.0
129850,240.0
129940,460.0
131101,400.0
132778,460.0
134292,460.0
134620,240.0
135489,500.0
138919,600.0
139108,360.0
140344,440.0
140406,380.0
141038,340.0
141630,320.0
145573,180.0
147391,360.0
147817,200.0
149345,340.0
149568,340.0
149898,600.0
150132,620.0
150258,440.0
152802,280.0
159046,240.0
159176,500.0
159672,400.0
159762,480.0
159887,460.0
160509,360.0
163436,600.0
163499,540.0
165989,220.0
166896,320.0
168819,360.0
169498,420.0
171232,460.0
172371,500.0
172719,380.0
175121,320.0
175862,460.0
179345,520.0
180185,440.0
180851,460.0
182761,440.0
183042,400.0
183631,520.0
185474,400.0
186260,440.0
188966,260.0
190143,360.0
190442,380.0
190585,140.0
192741,580.0
196399,540.0
197817,300.0
198026,620.0
199401,380.0
200707,620.0
200756,400.0
203373,600.0
205154,540.0
205726,400.0
206302,340.0
207134,340.0
208046,280.0
209960,360.0
210717,480.0
213288,200.0
214537,320.0
217914,280.0
218017,540.0
218281,420.0
218602,640.0
219727,220.0
219833,700.0
220580,280.0
222377,520.0
223225,180.0
225863,300.0
226195,320.0
227605,380.0
229565,260.0
232071,480.0
232252,540.0
233934,520.0
235596,520.0
241327,640.0
241646,640.0
242110,680.0
242510,460.0
243954,560.0
244237,440.0
244623,560.0
246980,580.0
250590,320.0
253401,440.0
254882,480.0
255613,480.0
256210,380.0
257479,580.0
258060,540.0
259180,760.0
259672,300.0
261970,500.0
264489,300.0
265132,400.0
268946,360.0
269055,600.0
269379,480.0
270873,500.0
274684,680.0
275359,580.0
275836,440.0
276170,300.0
276603,300.0
277482,520.0
278298,380.0
280077,320.0
280759,180.0
280949,260.0
281231,140.0
282083,260.0
284606,340.0
284745,280.0
286984,200.0
287582,340.0
289146,340.0
289353,380.0
289575,400.0
290889,260.0
293022,320.0
296867,380.0
298554,720.0
299379,560.0
299494,420.0
300176,360.0
300866,420.0
302767,560.0
308050,200.0
309515,680.0
309864,420.0
311231,440.0
313346,620.0
313851,600.0
314894,620.0
315262,300.0
315641,640.0
318865,420.0
322153,260.0
322251,520.0
322547,440.0
325774,560.0
327223,560.0
327607,540.0
328029,580.0
331969,200.0
332295,580.0
332944,480.0
333628,500.0
334550,560.0
339316,400.0
340585,500.0
341016,540.0
341486,280.0
342135,360.0
343377,520.0
344465,180.0
346025,560.0
347902,320.0
347969,540.0
350429,360.0
352396,480.0
352620,340.0
353935,480.0
354836,400.0
356331,440.0
356611,220.0
358167,380.0
361427,580.0
363956,480.0
364049,340.0
367719,460.0
367796,580.0
369367,640.0
371581,600.0
372127,640.0
372363,360.0
374789,560.0
377098,380.0
378012,440.0
378437,600.0
378805,220.0
381815,540.0
383663,460.0
385526,540.0
387492,460.0
388234,560.0
389385,480.0
390162,440.0
392837,620.0
393178,480.0
395089,480.0
400522,420.0
400701,440.0
401655,580.0
401990,640.0
402888,640.0
405422,340.0
405541,460.0
406343,520.0
412909,460.0
413012,460.0
413210,400.0
414143,520.0
416455,600.0
416588,380.0
418170,160.0
419836,560.0
423074,720.0
423183,360.0
425887,340.0
428620,560.0
429705,620.0
429921,500.0
430525,520.0
432432,360.0
433267,540.0
433372,420.0
438860,360.0
439313,560.0
441704,340.0
442630,360.0
443139,540.0
444978,620.0
445425,660.0
446949,180.0
447609,380.0
447694,580.0
452350,580.0
452428,400.0
452956,380.0
456314,400.0
457745,460.0
458323,460.0
460930,500.0
462850,420.0
463628,420.0
464197,700.0
464308,440.0
468701,480.0
469629,420.0
472141,580.0
474578,400.0
474593,380.0
475047,460.0
475125,440.0
477548,700.0
479054,420.0
484593,480.0
485417,440.0
485434,380.0
487007,500.0
488162,700.0
493004,600.0
493097,740.0
493872,340.0
494582,640.0
494829,400.0
498715,480.0
500457,580.0
502633,600.0
505146,360.0
506558,520.0
507018,300.0
508385,620.0
510989,640.0
511528,740.0
512840,500.0
515021,480.0
519303,300.0
521625,600.0
521797,540.0
523077,640.0
524209,480.0
524561,680.0
524953,520.0
531241,240.0
531484,660.0
532737,540.0
536017,560.0
536341,440.0
536948,480.0
537165,580.0
539596,320.0
540664,700.0
542947,500.0
543042,380.0
547359,480.0
550338,460.0
551721,600.0
551766,620.0
556051,640.0
557183,640.0
557419,540.0
558379,600.0
560067,320.0
561883,600.0
564771,600.0
567177,620.0
568368,320.0
568565,460.0
571475,580.0
571734,520.0
574018,680.0
576223,480.0
580416,740.0
580619,560.0
583742,560.0
583902,480.0
584101,660.0
584202,520.0
587379,500.0
587478,440.0
591898,420.0
595478,400.0
595971,700.0
598283,580.0
599485,620.0
601412,660.0
601860,620.0
601923,620.0
606848,480.0
607378,680.0
608246,540.0
609531,440.0
612145,360.0
612350,400.0
614875,560.0
614989,580.0
617724,420.0
618241,440.0
618659,440.0
622622,420.0
622997,560.0
625275,380.0
628610,400.0
628648,720.0
628945,360.0
633400,760.0
634297,420.0
634881,260.0
634971,520.0
635226,700.0
636839,280.0
637758,520.0
642338,540.0
642791,380.0
644739,420.0
645347,380.0
646034,340.0
646176,440.0
647661,560.0
651176,540.0
653000,380.0
653735,460.0
655053,440.0
655634,400.0
656366,420.0
659586,540.0
661501,440.0
664092,680.0
665471,540.0
665741,420.0
665924,420.0
667422,480.0
668099,580.0
668615,220.0
668907,380.0
675512,480.0
675664,260.0
676243,420.0
679111,540.0
679912,600.0
680274,440.0
682627,640.0
683096,600.0
687323,240.0
688662,520.0
690058,560.0
690201,360.0
691571,440.0
692055,620.0
698072,560.0
700630,700.0
701814,600.0
702580,460.0
704520,580.0
706260,700.0
707479,580.0
708146,620.0
708381,380.0
711127,380.0
713105,520.0
716009,540.0
716593,400.0
720477,520.0
720782,500.0
720962,600.0
721063,700.0
723545,560.0
726790,360.0
727239,240.0
727679,160.0
729395,580.0
729573,640.0
731063,400.0
731220,440.0
731943,520.0
733406,220.0
738141,480.0
738298,280.0
741783,480.0
743143,640.0
743634,560.0
744818,520.0
746020,680.0
746374,540.0
751607,560.0
751748,560.0
753173,480.0
754405,420.0
755132,420.0
758741,520.0
759042,600.0
761413,340.0
762547,680.0
764113,500.0
765017,540.0
767945,320.0
769696,340.0
769893,680.0
771458,560.0
772140,120.0
773617,700.0
778587,580.0
779066,780.0
780475,660.0
783418,460.0
784185,640.0
784321,580.0
784932,560.0
789970,500.0
791247,760.0
793652,380.0
794858,480.0
794948,560.0
796688,820.0
797311,500.0
797598,520.0
803292,480.0
805558,360.0
805704,620.0
807193,500.0
809445,660.0
810949,520.0
811274,820.0
813087,640.0
816814,600.0
816868,480.0
818010,500.0
820700,440.0
822689,640.0
822977,260.0
824630,520.0
827624,580.0
828531,800.0
831116,500.0
834482,780.0
835536,740.0
836429,560.0
838096,560.0
838153,660.0
840879,520.0
845086,700.0
845592,600.0
845707,380.0
847914,620.0
849018,540.0
852497,580.0
854736,680.0
855344,660.0
857867,480.0
859030,540.0
859350,380.0
859607,620.0
860300,500.0
867060,460.0
869024,680.0
869886,400.0
871903,720.0
872768,540.0
875497,780.0
875660,600.0
876644,780.0
881077,320.0
881200,420.0
881454,560.0
884658,780.0
890350,700.0
891085,580.0
891619,460.0
893282,800.0
893990,760.0
894538,600.0
895985,460.0
899971,780.0
906509,620.0
907844,700.0
908471,620.0
909713,680.0
910144,800.0
910458,620.0
913079,760.0
917569,800.0
918968,580.0
920135,480.0
922944,640.0
923291,620.0
925688,680.0
925850,600.0
928591,680.0
932020,580.0
934480,580.0
936454,740.0
937298,540.0
940034,600.0
940905,860.0
941445,800.0
943764,400.0
944288,480.0
945765,360.0
946133,840.0
948770,340.0
949613,540.0
950426,440.0
951509,260.0
955362,620.0
956012,280.0
956215,520.0
959143,520.0
959684,340.0
960606,580.0
965411,280.0
965998,680.0
966156,720.0
968724,540.0
968800,260.0
969342,540.0
973150,620.0
974748,820.0
975312,380.0
975656,400.0
978596,360.0
979622,600.0
981191,560.0
983141,620.0
983455,400.0
988198,560.0
988738,580.0
990201,740.0
990903,460.0
994641,580.0
995616,560.0
996218,840.0
998873,660.0
1001164,540.0
1001623,600.0
1002259,460.0
1003562,580.0
1006005,520.0
1007184,320.0
1011061,680.0
1011373,440.0
1014036,600.0
1014694,600.0
1014751,820.0
1018019,620.0
1021484,720.0
1021673,640.0
1022796,520.0
1023472,540.0
1025352,440.0
1030446,540.0
1031286,700.0
1033012,440.0
1033219,780.0
1033792,440.0
1034863,600.0
1039283,680.0
1039508,340.0
1041833,700.0
1042709,480.0
1047716,620.0
1047907,180.0
1049331,580.0
1051302,740.0
1051537,800.0
1055746,680.0
1057130,780.0
1057369,660.0
1062396,600.0
1064812,680.0
1065703,620.0
1066249,900.0
1068162,560.0
1068410,460.0
1069095,760.0
1073856,720.0
1076175,480.0
1077908,680.0
1080224,640.0
1080780,540.0
1081665,640.0
1084535,700.0
1085712,800.0
1091652,680.0
1092381,780.0
1094604,600.0
1095242,660.0
1095418,740.0
1099082,600.0
1099287,800.0
1102165,760.0
1109085,640.0
1109242,780.0
1109801,600.0
1110011,800.0
1111509,540.0
1112864,800.0
1113768,640.0
1114286,220.0
1120176,460.0
1120690,780.0
1122625,520.0
1125969,640.0
1127130,500.0
1128544,800.0
1128704,640.0
1130318,760.0
1133055,560.0
1136650,680.0
1137130,680.0
1137509,480.0
1137917,360.0
1140477,680.0
1144000,640.0
1144827,640.0
1145458,560.0
1151343,600.0
1151809,460.0
1151886,600.0
1152509,620.0
1153058,320.0
1154224,820.0
1158522,620.0
1158812,560.0
1165312,560.0
1165509,580.0
1165808,640.0
1168291,740.0
1169672,660.0
1170131,820.0
1171914,580.0
1176442,820.0
1179777,620.0
1180981,700.0
1183326,760.0
1184782,700.0
1187262,760.0
1187585,760.0
1190259,380.0
1190447,820.0
1194927,780.0
1197993,440.0
1198302,760.0
1200310,720.0
1200516,380.0
1200609,480.0
1200948,800.0
1203833,580.0
1205264,420.0
1211704,580.0
1213648,600.0
1216534,820.0
1217007,720.0
1217127,760.0
1217379,740.0
1219411,720.0
1219757,680.0
1223053,520.0
1224385,300.0
1226276,380.0
1228097,620.0
1228777,520.0
1229584,180.0
1229920,540.0
1234237,620.0
1234859,660.0
1237542,640.0
1239437,500.0
1240727,640.0
1240910,460.0
1242259,560.0
1246463,740.0
1247620,540.0
1249308,620.0
1251998,600.0
1252089,460.0
1252218,420.0
1254003,620.0
1257643,640.0
1262998,740.0
1263326,420.0
1264753,700.0
1266145,780.0
1266731,680.0
1268388,620.0
1268712,760.0
1270054,500.0
1278109,440.0
1278422,640.0
1278689,420.0
1278902,700.0
1279251,660.0
1281729,700.0
1283113,620.0
1284504,660.0
1290849,560.0
1291001,340.0
1291103,520.0
1291218,440.0
1292549,600.0
1294771,680.0
1298525,660.0
1301060,720.0
1302801,400.0
1304194,520.0
1306181,180.0
1306551,680.0
1307456,680.0
1307681,720.0
1311189,720.0
1313121,360.0
1315036,740.0
1318082,500.0
1318609,580.0
1319811,540.0
1320784,820.0
1324181,820.0
1328811,780.0
1330647,760.0
1331957,560.0
1332658,800.0
1336314,700.0
1336607,800.0
1339306,860.0
1342198,540.0
1342706,840.0
1344418,520.0
1345175,660.0
1349751,580.0
1351171,840.0
1351669,500.0
1352098,640.0
1355057,480.0
1358645,720.0
1359814,660.0
1359997,320.0
1360688,660.0
1364476,520.0
1365628,620.0
1366358,760.0
1370617,720.0
1374287,660.0
1376267,800.0
1376855,480.0
1377510,760.0
1377615,440.0
1379213,760.0
1380141,680.0
1385595,440.0
1387067,680.0
1388906,500.0
1389978,540.0
1392762,740.0
1393334,760.0
1393505,540.0
1395716,760.0
1399057,600.0
1400183,460.0
1403522,700.0
1404454,640.0
1404681,460.0
1405951,540.0
1407288,320.0
1408166,660.0
1412808,380.0
1413267,800.0
1415120,500.0
1416801,840.0
1418552,460.0
1420682,600.0
1422076,800.0
1423528,400.0
1424484,840.0
1426370,400.0
1429383,680.0
1429868,440.0
1430195,560.0
1437452,620.0
1437913,640.0
1438304,800.0
1441067,780.0
1442977,820.0
1443370,560.0
1443629,600.0
1443853,660.0
1446836,400.0
1453425,700.0
1453740,700.0
1455308,460.0
1455599,680.0
1459151,520.0
1460316,680.0
1461091,700.0
1461895,780.0
1468245,640.0
1470967,820.0
1472025,660.0
1473833,820.0
1474671,720.0
1474774,640.0
1477383,680.0
1478713,820.0
1486444,680.0
1486770,820.0
1488637,780.0
1489696,460.0
1490290,700.0
1491120,720.0
1491400,820.0
1497238,760.0
1504392,860.0
1504964,800.0
1506251,740.0
1507162,820.0
1507677,720.0
1508815,820.0
1508997,820.0
1509641,540.0
1519475,660.0
1521731,740.0
1522174,640.0
1522706,700.0
1522917,820.0
1524412,640.0
1525041,660.0
1526437,820.0
1530772,460.0
1535755,480.0
1536244,580.0
1536269,580.0
1537131,640.0
1539523,660.0
1540707,820.0
1541259,120.0
1541813,620.0
1546072,400.0
1546196,680.0
1550822,680.0
1551694,680.0
1551996,540.0
1555204,640.0
1556350,660.0
1556682,640.0
1561623,700.0
1563193,540.0
1563818,800.0
1567711,480.0
1570219,800.0
1570521,820.0
1572697,780.0
1574304,860.0
1575046,580.0
1578585,560.0
1582343,780.0
1586244,780.0
1586722,720.0
1587016,720.0
1589248,760.0
1589688,680.0
1590969,520.0
1591477,660.0
1599907,840.0
1601187,680.0
1602131,560.0
1602528,660.0
1602718,700.0
1605697,720.0
1606041,660.0
1608591,820.0
1609206,420.0
1609865,160.0
1609952,320.0
1611472,480.0
1613426,480.0
1617968,700.0
1621427,620.0
1622367,520.0
1624362,680.0
1626756,820.0
1627124,780.0
1627907,700.0
1629094,840.0
1631615,360.0
1632755,460.0
1634511,720.0
1636095,380.0
1639551,560.0
1639876,280.0
1640816,700.0
1641133,400.0
1641521,520.0
1643443,720.0
1645043,160.0
1647379,440.0
1648984,700.0
1650923,520.0
1656517,660.0
1658004,740.0
1658382,800.0
1660993,820.0
1662673,840.0
1664261,560.0
1665438,740.0
1665912,800.0
1671014,640.0
1674829,740.0
1676529,840.0
1676688,560.0
1677488,720.0
1680146,760.0
1680990,720.0
1683534,800.0
1688493,740.0
1689274,620.0
