step,score,cells
6250,0.0,8
12500,0.0,11
18750,0.0,18
25000,0.0,22
31250,0.0,22
37500,0.0,29
43750,0.0,29
50000,0.0,29
56250,0.0,37
62487,0.0,39
68478,0.0,39
74539,0.0,42
80726,0.0,46
86886,0.0,46
93076,0.0,46
99326,0.0,48
105453,0.0,48
111491,0.0,55
117711,0.0,55
123931,0.0,55
130121,0.0,57
136241,0.0,57
142429,0.0,57
148619,0.0,57
154779,0.0,57
160969,0.0,57
167219,0.0,58
173409,0.0,61
179569,0.0,64
185819,0.0,64
192009,0.0,65
198229,0.0,65
204419,0.0,68
210669,0.0,70
216859,0.0,72
223109,0.0,73
229359,0.0,74
235608,0.0,75
241798,0.0,76
248018,0.0,77
254268,0.0,77
260427,0.0,77
266612,0.0,78
272830,0.0,79
278960,0.0,79
285168,0.0,80
291387,0.0,81
297607,0.0,82
303795,0.0,82
310045,0.0,83
316295,0.0,84
322449,0.0,85
328698,0.0,85
334888,0.0,86
341097,0.0,90
347321,0.0,90
353551,0.0,92
359728,0.0,92
365938,0.0,92
372148,0.0,93
378369,0.0,93
384585,0.0,93
390732,0.0,94
396946,0.0,96
403176,0.0,97
409354,0.0,98
415544,0.0,99
421789,0.0,105
428024,0.0,105
434258,0.0,106
440508,0.0,109
446726,0.0,110
452945,0.0,112
459108,0.0,113
465308,0.0,114
471523,0.0,116
477722,0.0,116
483970,0.0,117
490207,0.0,117
496442,0.0,117
502662,0.0,118
508894,0.0,120
515143,0.0,120
521319,0.0,123
527521,0.0,123
533712,0.0,123
539922,0.0,124
546124,0.0,124
552284,0.0,124
558529,0.0,124
564759,0.0,125
570972,0.0,126
577164,0.0,126
583342,0.0,126
589552,0.0,126
595774,0.0,126
601994,0.0,127
608206,0.0,128
614342,0.0,128
620531,0.0,128
626781,0.0,129
633001,0.0,130
639242,0.0,130
645461,0.0,130
651674,0.0,130
657868,0.0,130
664086,0.0,130
670269,0.0,130
676459,0.0,130
682692,0.0,132
688912,0.0,132
695127,0.0,132
701364,0.0,133
707610,0.0,135
713846,0.0,136
720092,0.0,139
726342,0.0,139
732592,0.0,140
738824,0.0,141
745074,0.0,141
751283,0.0,142
757458,0.0,142
763663,0.0,143
769872,0.0,143
776115,0.0,143
782325,0.0,143
788511,0.0,143
794694,0.0,143
800852,0.0,143
807058,0.0,143
813242,0.0,143
819487,0.0,144
825700,0.0,145
831950,0.0,146
838159,0.0,146
844373,0.0,147
850572,0.0,147
856761,0.0,147
862932,0.0,147
869177,0.0,147
875389,0.0,147
881599,0.0,149
887773,0.0,149
893978,0.0,149
900198,0.0,149
906417,0.0,149
912637,0.0,149
918769,0.0,150
924982,0.0,150
931199,0.0,150
937442,0.0,150
943650,0.0,150
949881,0.0,150
956034,0.0,150
962271,0.0,151
968510,0.0,151
974732,0.0,151
980972,0.0,151
987221,0.0,153
993441,0.0,153
999659,0.0,154
1005901,0.0,154
1012100,0.0,155
1018326,0.0,155
1024568,0.0,156
1030758,0.0,156
1037000,0.0,156
1043220,0.0,156
1049429,0.0,156
1055676,0.0,156
1061916,0.0,156
1068164,0.0,156
1074414,0.0,157
1080657,0.0,157
1086866,0.0,157
1093108,0.0,158
1099298,0.0,158
1105499,0.0,159
1111681,0.0,160
1117924,0.0,160
1124107,0.0,161
1130343,0.0,161
1136548,0.0,161
1142785,0.0,162
1149030,0.0,162
1155258,0.0,162
1161467,0.0,162
1167717,0.0,162
1173916,0.0,162
1180083,0.0,162
1186303,0.0,162
1192524,0.0,162
1198732,0.0,162
1204907,0.0,162
1211139,0.0,162
1217349,0.0,162
1223588,0.0,162
1229838,0.0,162
1236088,0.0,162
1242328,0.0,162
1248576,0.0,162
1254782,0.0,162
1261022,0.0,162
1267226,0.0,162
1273448,0.0,162
1279672,0.0,163
1285841,0.0,163
1292088,0.0,164
1298307,0.0,164
1304557,0.0,164
1310714,0.0,164
1316964,0.0,164
1323184,0.0,165
1329403,0.0,166
1335461,0.0,168
1341670,0.0,168
1347868,0.0,169
1354080,0.0,169
1360280,0.0,170
1366485,0.0,171
1372707,0.0,171
1378876,0.0,171
1385075,0.0,171
1391303,0.0,172
1397513,0.0,172
1403725,0.0,172
1409944,0.0,172
1416160,0.0,172
1422362,0.0,172
1428566,0.0,172
1434764,0.0,172
1441001,0.0,172
1447240,0.0,172
1453478,0.0,173
1459702,0.0,173
1465897,0.0,173
1472127,0.0,173
1478304,0.0,174
1484543,0.0,174
1490781,0.0,174
1496945,0.0,174
1503152,0.0,174
1509336,0.0,174
1515531,0.0,174
1521757,0.0,174
1527940,0.0,174
1534175,0.0,174
1540372,0.0,174
1546577,0.0,174
1552795,0.0,174
1559016,0.0,175
1565254,0.0,176
1571456,0.0,177
1577663,0.0,178
1583882,0.0,179
1590089,0.0,179
1596309,0.0,179
1602558,0.0,179
1608798,0.0,179
1614974,0.0,180
1621187,0.0,180
1627427,0.0,180
1633662,0.0,181
1639891,0.0,181
1646141,0.0,181
1652365,0.0,182
1658566,0.0,183
1664742,0.0,183
1670968,0.0,183
1677196,0.0,183
1683446,0.0,183
1689696,0.0,183
1695897,0.0,183
1702101,0.0,183
1708317,0.0,183
1714553,0.0,183
1720747,0.0,183
1726957,0.0,183
1733129,0.0,184
1739379,0.0,184
1745529,0.0,184
1751730,0.0,184
1757956,0.0,184
1764166,0.0,185
1770408,0.0,185
1776627,0.0,185
1782875,0.0,185
1789084,0.0,185
1795281,0.0,185
1801529,0.0,185
1807755,0.0,185
1813995,0.0,185
1820216,0.0,185
1826441,0.0,185
1832673,0.0,185
1838911,0.0,185
1845160,0.0,185
1851372,0.0,185
1857605,0.0,185
1863830,0.0,186
1870029,0.0,186
1876208,0.0,186
1882399,0.0,186
1888632,0.0,186
1894871,0.0,186
1901121,0.0,186
1907296,0.0,186
1913512,0.0,186
1919690,0.0,187
1925891,0.0,187
1932117,0.0,187
1938332,0.0,187
1944515,0.0,187
1950745,0.0,187
1956972,0.0,188
1963212,0.0,189
1969440,0.0,189
1975690,0.0,189
1981940,0.0,189
1988142,0.0,189
1994358,0.0,192
2000557,0.0,192
2006807,0.0,193
2013057,0.0,193
2019286,0.0,193
2025536,0.0,193
2031752,0.0,193
2037985,0.0,193
2044148,0.0,193
2050371,0.0,193
2056596,0.0,193
2062797,0.0,194
2069037,0.0,195
2075278,0.0,195
2081526,0.0,195
2087769,0.0,198
2093956,0.0,198
2100165,0.0,198
2106365,0.0,198
2112576,0.0,198
2118826,0.0,198
2124962,0.0,198
2131160,0.0,198
2137388,0.0,199
2143638,0.0,199
2149867,0.0,200
2156089,0.0,200
2162331,0.0,200
2168565,0.0,200
2174755,0.0,200
2180900,0.0,200
2187150,0.0,201
2193349,0.0,201
2199569,0.0,201
2205819,0.0,203
2212059,0.0,203
2218244,0.0,203
2224424,0.0,203
2230590,0.0,203
2236804,0.0,203
2243054,0.0,203
2249292,0.0,203
2255531,0.0,203
2261766,0.0,203
2268001,0.0,204
2274211,0.0,204
2280438,0.0,204
2286633,0.0,204
2292836,0.0,204
2299039,0.0,204
2305277,0.0,205
2311490,0.0,205
2317724,0.0,206
2323974,0.0,206
2330224,0.0,206
2336424,0.0,206
2342633,0.0,206
2348875,0.0,206
2355125,0.0,206
2361299,0.0,206
2367539,0.0,206
2373737,0.0,206
2379956,0.0,206
2386191,0.0,206
2392401,0.0,206
2398651,0.0,206
2404830,0.0,206
2411073,0.0,206
2417306,0.0,206
2423490,0.0,206
2429718,0.0,206
2435947,0.0,206
2442154,0.0,206
2448404,0.0,206
2454651,0.0,206
2460816,0.0,206
2467055,0.0,206
2473294,0.0,206
2479514,0.0,207
2485701,0.0,207
2491944,0.0,207
2498194,0.0,207
2504373,0.0,207
2510613,0.0,207
2516810,0.0,207
2522998,0.0,207
2529241,0.0,207
2535479,0.0,207
2541674,0.0,208
2547906,0.0,208
2554118,0.0,208
2560308,0.0,208
2566533,0.0,208
2572747,0.0,208
2578959,0.0,208
2585196,0.0,210
2591405,0.0,210
2597615,0.0,211
2603604,0.0,211
2609798,0.0,211
2616026,0.0,211
2622212,0.0,211
2628370,0.0,211
2634545,0.0,211
2640747,0.0,211
2646962,0.0,211
2653185,0.0,211
2659419,0.0,211
2665653,0.0,211
2671903,0.0,211
2678153,0.0,211
2684375,0.0,211
2690545,0.0,212
2696401,0.0,212
2702526,0.0,212
2708569,0.0,212
2714711,0.0,212
2720793,0.0,212
2726859,0.0,212
2732960,0.0,212
2739137,0.0,212
2745246,0.0,212
2751450,0.0,212
2757546,0.0,212
2763642,0.0,212
2769809,0.0,212
2775979,0.0,212
2782036,0.0,212
2788151,0.0,212
2794304,0.0,212
2800455,0.0,212
2806582,0.0,212
2812822,0.0,212
2818964,0.0,212
2825156,0.0,212
2831313,0.0,212
2837441,0.0,212
2843691,0.0,212
2849880,0.0,212
2856004,0.0,212
2862145,0.0,212
2868290,0.0,212
2874489,0.0,212
2880694,0.0,212
2886872,0.0,212
2893000,0.0,212
2899243,0.0,212
2905426,0.0,212
2911609,0.0,212
2917824,0.0,212
2923924,0.0,212
2930122,0.0,212
2936336,0.0,212
2942490,0.0,212
2948631,0.0,212
2954830,0.0,212
2961007,0.0,212
2967206,0.0,214
2973410,0.0,214
2979587,0.0,214
2985818,0.0,214
2991954,0.0,214
2998149,0.0,214
3004360,0.0,214
3010515,0.0,214
3016714,0.0,214
3022863,0.0,214
3029092,0.0,214
3035307,0.0,214
3041433,0.0,214
3047641,0.0,214
3053816,0.0,214
3060015,0.0,214
3066219,0.0,214
3072404,0.0,214
3078518,0.0,214
3084694,0.0,214
3090815,0.0,214
3097015,0.0,214
3103156,0.0,214
3109300,0.0,216
3115505,0.0,216
3121755,0.0,216
3127975,0.0,216
3134066,0.0,216
3140246,0.0,216
3146456,0.0,216
3152626,0.0,217
3158732,0.0,217
3164970,0.0,217
3171112,0.0,217
3177322,0.0,217
3183431,0.0,217
3189604,0.0,217
3195829,0.0,217
3202006,0.0,217
3208132,0.0,217
3214347,0.0,217
3220544,0.0,217
3226794,0.0,217
3232949,0.0,217
3239106,0.0,217
3245285,0.0,217
3251436,0.0,217
3257562,0.0,217
3263638,0.0,217
3269774,0.0,217
3275945,0.0,217
3282061,0.0,217
3288289,0.0,217
3294539,0.0,217
3300742,0.0,217
3306885,0.0,218
3313109,0.0,219
3319289,0.0,219
3325485,0.0,219
3331692,0.0,219
3337931,0.0,219
3344106,0.0,219
3350335,0.0,219
3356572,0.0,219
3362746,0.0,219
3368996,0.0,219
3375033,0.0,219
3381248,0.0,219
3387425,0.0,219
3393602,0.0,219
3399808,0.0,219
3406008,0.0,219
3412178,0.0,219
3418425,0.0,219
3424560,0.0,219
3430788,0.0,220
3437003,0.0,220
3443218,0.0,220
3449368,0.0,220
3455596,0.0,220
3461698,0.0,220
3467925,0.0,220
3474151,0.0,220
3480380,0.0,220
3486580,0.0,220
3492735,0.0,220
3498865,0.0,220
3505115,0.0,220
3511363,0.0,220
3517581,0.0,220
3523831,0.0,220
3530029,0.0,220
3536279,0.0,221
3542517,0.0,221
3548699,0.0,221
3554889,0.0,221
3561016,0.0,221
3567178,0.0,221
3573397,0.0,221
3579603,0.0,221
3585853,0.0,221
3592031,0.0,221
3598281,0.0,221
3604468,0.0,221
3610657,0.0,221
3616859,0.0,222
3623096,0.0,222
3629302,0.0,222
3635498,0.0,222
3641714,0.0,222
3647954,0.0,222
3654203,0.0,222
3660415,0.0,222
3666619,0.0,223
3672819,0.0,223
3679024,0.0,223
3685134,0.0,223
3691306,0.0,223
3697484,0.0,223
3703691,0.0,223
3709922,0.0,223
3716118,0.0,223
3722356,0.0,223
3728575,0.0,223
3734816,0.0,223
3741064,0.0,223
3747190,0.0,223
3753425,0.0,223
3759656,0.0,223
3765893,0.0,224
3772056,0.0,224
3778206,0.0,224
3784419,0.0,224
3790619,0.0,224
3796804,0.0,225
3802979,0.0,225
3809219,0.0,225
3815442,0.0,225
3821659,0.0,225
3827854,0.0,225
3834058,0.0,225
3840266,0.0,225
3846445,0.0,225
3852672,0.0,226
3858822,0.0,226
3865015,0.0,226
3871220,0.0,226
3877415,0.0,226
3883577,0.0,226
3889775,0.0,226
3895996,0.0,226
3902166,0.0,226
3908316,0.0,226
